Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Eventos_Diagnostico,Chrome 72.0.3626.119,,2019-03-06 10:59:09,2019-03-06 11:01:24,"2m - 14,783s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/1.Crear,Chrome 72.0.3626.119,,2019-03-06 10:59:09,2019-03-06 11:00:01,"51,415s",PASSED
callTestCase,Chrome 72.0.3626.119,,2019-03-06 10:59:10,2019-03-06 10:59:26,"16,365s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:26,2019-03-06 10:59:28,"2,011s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:28,2019-03-06 10:59:28,"0,078s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:28,2019-03-06 10:59:30,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:30,2019-03-06 10:59:30,"0,012s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:30,2019-03-06 10:59:32,"2,002s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 10:59:32,2019-03-06 10:59:37,"4,147s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:37,2019-03-06 10:59:39,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:39,2019-03-06 10:59:39,"0,042s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:39,2019-03-06 10:59:41,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:41,2019-03-06 10:59:41,"0,182s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:41,2019-03-06 10:59:43,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:43,2019-03-06 10:59:43,"0,226s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:43,2019-03-06 10:59:45,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:45,2019-03-06 10:59:45,"0,129s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:45,2019-03-06 10:59:47,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:47,2019-03-06 10:59:47,"0,154s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:47,2019-03-06 10:59:49,"2,004s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:49,2019-03-06 10:59:49,"0,125s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:49,2019-03-06 10:59:51,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:51,2019-03-06 10:59:52,"0,041s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:52,2019-03-06 10:59:54,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 10:59:54,2019-03-06 10:59:54,"0,191s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:54,2019-03-06 10:59:56,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:56,2019-03-06 10:59:56,"0,042s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:56,2019-03-06 10:59:58,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 10:59:58,2019-03-06 10:59:58,"0,013s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 10:59:58,2019-03-06 11:00:01,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/2.Ver,Chrome 72.0.3626.119,,2019-03-06 11:00:01,2019-03-06 11:00:11,"10,711s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:00:01,2019-03-06 11:00:03,"2,394s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:03,2019-03-06 11:00:05,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:05,2019-03-06 11:00:05,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:05,2019-03-06 11:00:07,"2,004s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:07,2019-03-06 11:00:07,"0,043s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:07,2019-03-06 11:00:09,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:09,2019-03-06 11:00:09,"0,011s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:09,2019-03-06 11:00:11,"2,000s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/3.Inhabilitar,Chrome 72.0.3626.119,,2019-03-06 11:00:11,2019-03-06 11:00:43,"31,366s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:00:12,2019-03-06 11:00:14,"1,773s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:14,2019-03-06 11:00:16,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:16,2019-03-06 11:00:16,"0,026s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:16,2019-03-06 11:00:18,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:18,2019-03-06 11:00:18,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:18,2019-03-06 11:00:20,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:20,2019-03-06 11:00:20,"0,020s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:20,2019-03-06 11:00:22,"2,003s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 11:00:22,2019-03-06 11:00:22,"0,047s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:22,2019-03-06 11:00:32,"10,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:32,2019-03-06 11:00:32,"0,024s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:32,2019-03-06 11:00:34,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:34,2019-03-06 11:00:34,"0,037s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:34,2019-03-06 11:00:36,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:36,2019-03-06 11:00:36,"0,030s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:36,2019-03-06 11:00:38,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:38,2019-03-06 11:00:38,"0,048s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:38,2019-03-06 11:00:40,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:40,2019-03-06 11:00:40,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:40,2019-03-06 11:00:43,"3,002s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/4.Editar,Chrome 72.0.3626.119,,2019-03-06 11:00:43,2019-03-06 11:01:12,"28,975s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:00:43,2019-03-06 11:00:46,"2,549s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:46,2019-03-06 11:00:48,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:48,2019-03-06 11:00:48,"0,026s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:48,2019-03-06 11:00:50,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:00:50,2019-03-06 11:00:50,"0,038s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:50,2019-03-06 11:00:52,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:52,2019-03-06 11:00:52,"0,139s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:52,2019-03-06 11:00:54,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:54,2019-03-06 11:00:54,"0,180s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:54,2019-03-06 11:00:56,"2,001s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:56,2019-03-06 11:00:56,"0,123s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:56,2019-03-06 11:00:58,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:00:58,2019-03-06 11:00:58,"0,140s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:00:58,2019-03-06 11:01:00,"2,002s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:01:00,2019-03-06 11:01:00,"0,177s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:00,2019-03-06 11:01:03,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:03,2019-03-06 11:01:03,"0,027s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:03,2019-03-06 11:01:05,"2,003s",PASSED
setText,Chrome 72.0.3626.119,,2019-03-06 11:01:05,2019-03-06 11:01:05,"0,210s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:05,2019-03-06 11:01:07,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:07,2019-03-06 11:01:07,"0,047s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:07,2019-03-06 11:01:09,"2,001s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:09,2019-03-06 11:01:09,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:09,2019-03-06 11:01:12,"3,003s",PASSED
,,,,,,
Test Cases/1.Configuraciones/3.Diagnosticos/5.Eliminar,Chrome 72.0.3626.119,,2019-03-06 11:01:12,2019-03-06 11:01:23,"11,181s",PASSED
navigateToUrl,Chrome 72.0.3626.119,,2019-03-06 11:01:12,2019-03-06 11:01:14,"1,861s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:14,2019-03-06 11:01:16,"2,002s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:16,2019-03-06 11:01:16,"0,032s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:16,2019-03-06 11:01:18,"2,003s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:18,2019-03-06 11:01:18,"0,025s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:18,2019-03-06 11:01:20,"2,003s",PASSED
acceptAlert,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:20,"0,016s",PASSED
executeJavaScript,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:20,"0,034s",PASSED
delay,Chrome 72.0.3626.119,,2019-03-06 11:01:20,2019-03-06 11:01:23,"3,002s",PASSED
